symbol,code,date,shareholding,shareholding_percent,close
600236.SH,600236,2021-03-01,"25,047,327",0.31,4.590
600238.SH,600238,2021-03-01,400,0.00,8.020
600239.SH,600239,2021-03-01,"1,086,781",0.06,2.390
600248.SH,600248,2021-03-01,"2,651",0.00,3.940
600251.SH,600251,2021-03-01,"55,423",0.00,6.460
600252.SH,600252,2021-03-01,"22,941,778",0.66,2.850
600255.SH,600255,2021-03-01,"574,897",0.03,2.120
600256.SH,600256,2021-03-01,"127,195,374",1.88,2.760
600257.SH,600257,2021-03-01,"284,737",0.05,5.130
600258.SH,600258,2021-03-01,"79,364,375",8.10,24.850
600259.SH,600259,2021-03-01,"306,600",0.10,39.990
600260.SH,600260,2021-03-01,"28,966,330",2.97,9.250
600261.SH,600261,2021-03-01,"22,939,651",1.57,3.790
600266.SH,600266,2021-03-01,"1,747,185",0.07,4.800
600267.SH,600267,2021-03-01,"720,825",0.07,17.160
600268.SH,600268,2021-03-01,"20,400",0.00,6.180
600269.SH,600269,2021-03-01,"1,575,494",0.06,3.390
600271.SH,600271,2021-03-01,"9,608,404",0.51,11.510
600273.SH,600273,2021-03-01,"29,693,446",2.07,9.320
600276.SH,600276,2021-03-01,"661,250,300",12.46,100.310
600277.SH,600277,2021-03-01,"7,449,391",0.27,3.090
600278.SH,600278,2021-03-01,"7,294",0.00,8.760
600280.SH,600280,2021-03-01,"117,881",0.01,3.280
600282.SH,600282,2021-03-01,"215,125,533",4.83,3.490
600284.SH,600284,2021-03-01,"7,141,463",0.73,5.900
600285.SH,600285,2021-03-01,"12,725,169",2.24,8.650
600289.SH,600289,2021-03-01,"69,611",0.01,3.870
600290.SH,600290,2021-03-01,200,0.00,3.040
600291.SH,600291,2021-03-01,"531,588",0.04,3.570
600292.SH,600292,2021-03-01,"829,738",0.10,8.250
600295.SH,600295,2021-03-01,"12,210,699",1.87,20.830
600297.SH,600297,2021-03-01,"38,251,368",0.47,2.650
600298.SH,600298,2021-03-01,"91,641,579",11.12,54.500
600299.SH,600299,2021-03-01,"8,099,046",0.30,14.340
600300.SH,600300,2021-03-01,"1,058,781",0.06,3.890
600305.SH,600305,2021-03-01,"46,895,714",4.67,21.100
600307.SH,600307,2021-03-01,"1,575,608",0.02,1.680
600309.SH,600309,2021-03-01,"153,217,412",10.76,130.140
600310.SH,600310,2021-03-01,"1,538,906",0.18,3.960
600312.SH,600312,2021-03-01,"9,320,809",0.68,6.410
600315.SH,600315,2021-03-01,"30,404,163",4.52,46.500
600316.SH,600316,2021-03-01,"260,546",0.03,45.440
600318.SH,600318,2021-03-01,"13,468",0.00,8.200
600321.SH,600321,2021-03-01,"134,400",0.00,1.930
600323.SH,600323,2021-03-01,"6,739,675",0.87,26.500
600325.SH,600325,2021-03-01,"44,891,615",2.12,6.300
600326.SH,600326,2021-03-01,"17,164,609",1.86,7.160
600327.SH,600327,2021-03-01,"311,261",0.03,3.980
600329.SH,600329,2021-03-01,"14,622,269",2.58,17.550
600332.SH,600332,2021-03-01,"17,858,071",1.27,29.560
600333.SH,600333,2021-03-01,"5,800",0.00,4.660
600335.SH,600335,2021-03-01,"2,223,968",0.21,5.000
600337.SH,600337,2021-03-01,"16,884,631",1.03,5.590
600338.SH,600338,2021-03-01,"10,400,247",1.13,10.320
600340.SH,600340,2021-03-01,"92,880,772",2.38,8.050
600343.SH,600343,2021-03-01,"535,571",0.08,11.230
600345.SH,600345,2021-03-01,"49,492",0.02,15.040
600346.SH,600346,2021-03-01,"143,330,351",2.03,37.020
600348.SH,600348,2021-03-01,"49,677,430",2.06,4.970
600350.SH,600350,2021-03-01,"19,240,465",0.39,6.260
600351.SH,600351,2021-03-01,"797,272",0.10,4.900
600352.SH,600352,2021-03-01,"90,256,079",2.77,16.970
600353.SH,600353,2021-03-01,"2,000",0.00,4.790
600362.SH,600362,2021-03-01,"46,265,605",2.22,28.200
600363.SH,600363,2021-03-01,"3,962,403",0.89,22.500
600366.SH,600366,2021-03-01,"7,819,945",0.79,7.640
600368.SH,600368,2021-03-01,"24,312,943",2.15,3.490
600369.SH,600369,2021-03-01,"57,065,599",1.01,4.780
600372.SH,600372,2021-03-01,"22,656,204",1.17,17.170
600373.SH,600373,2021-03-01,"59,915,620",4.42,10.030
600375.SH,600375,2021-03-01,"74,101",0.01,7.610
600376.SH,600376,2021-03-01,"22,397,094",0.86,5.680
600377.SH,600377,2021-03-01,"14,020,848",0.36,9.250
600378.SH,600378,2021-03-01,"4,947,797",1.38,21.290
600380.SH,600380,2021-03-01,"99,170,272",5.07,13.320
600381.SH,600381,2021-03-01,100,0.00,5.450
600382.SH,600382,2021-03-01,"2,366",0.00,6.300
600383.SH,600383,2021-03-01,"106,063,413",2.34,12.930
600386.SH,600386,2021-03-01,"497,355",0.06,3.360
600387.SH,600387,2021-03-01,"8,659,752",2.14,6.070
600388.SH,600388,2021-03-01,"10,565,081",0.98,9.160
600389.SH,600389,2021-03-01,50,0.00,21.790
600391.SH,600391,2021-03-01,"517,350",0.15,20.550
600392.SH,600392,2021-03-01,"44,791,636",2.55,23.750
600393.SH,600393,2021-03-01,"2,087,838",0.21,1.810
600395.SH,600395,2021-03-01,"26,126,525",1.57,7.400
600396.SH,600396,2021-03-01,"132,900",0.00,2.200
600397.SH,600397,2021-03-01,"489,383",0.04,2.540
600398.SH,600398,2021-03-01,"16,118,687",0.37,6.910
600399.SH,600399,2021-03-01,"54,637",0.00,13.630
600400.SH,600400,2021-03-01,"1,012,463",0.03,3.130
600403.SH,600403,2021-03-01,"62,059",0.00,3.580
600405.SH,600405,2021-03-01,"88,002",0.01,5.060
600406.SH,600406,2021-03-01,"602,187,262",13.13,29.290
600409.SH,600409,2021-03-01,"30,201,179",1.46,13.630
600410.SH,600410,2021-03-01,"1,173,583",0.10,7.580
600415.SH,600415,2021-03-01,"13,275,888",0.24,5.080
600416.SH,600416,2021-03-01,"358,882",0.03,19.620
600418.SH,600418,2021-03-01,"2,331,597",0.12,8.940
600420.SH,600420,2021-03-01,"7,025,944",0.68,8.840
600422.SH,600422,2021-03-01,"5,929,448",0.78,8.230
600425.SH,600425,2021-03-01,"34,473",0.00,3.790
600426.SH,600426,2021-03-01,"48,353,730",2.98,44.690
600428.SH,600428,2021-03-01,"850,449",0.03,3.990
600433.SH,600433,2021-03-01,"667,041",0.05,5.880
600435.SH,600435,2021-03-01,"1,076,895",0.07,8.110
600436.SH,600436,2021-03-01,"21,218,559",3.51,302.120
600438.SH,600438,2021-03-01,"213,755,004",4.98,47.500
600439.SH,600439,2021-03-01,"3,891,079",0.34,2.550
600446.SH,600446,2021-03-01,"17,903,680",2.09,15.610
600449.SH,600449,2021-03-01,"400,777",0.08,14.340
600452.SH,600452,2021-03-01,"3,538,477",0.80,16.590
600458.SH,600458,2021-03-01,"209,036",0.02,7.960
600459.SH,600459,2021-03-01,"3,821,487",0.87,22.920
600460.SH,600460,2021-03-01,"24,774,181",1.88,29.700
600466.SH,600466,2021-03-01,"33,957,031",1.11,4.460
600467.SH,600467,2021-03-01,"34,900",0.00,2.670
600468.SH,600468,2021-03-01,"666,079",0.05,4.210
600469.SH,600469,2021-03-01,300,0.00,5.340
600470.SH,600470,2021-03-01,100,0.00,4.570
600477.SH,600477,2021-03-01,"17,069,544",0.79,4.220
600478.SH,600478,2021-03-01,"21,935",0.00,4.050
600479.SH,600479,2021-03-01,"393,122",0.09,8.710
600480.SH,600480,2021-03-01,"584,532",0.07,8.040
600481.SH,600481,2021-03-01,"1,474,077",0.09,4.640
600482.SH,600482,2021-03-01,"1,668,403",0.19,17.130
600483.SH,600483,2021-03-01,"8,001,348",0.51,8.150
600485.SH,600485,2021-03-01,"628,734",0.03,1.390
600486.SH,600486,2021-03-01,"6,520,758",2.10,136.680
600487.SH,600487,2021-03-01,"43,430,078",2.27,13.180
600488.SH,600488,2021-03-01,"2,630",0.00,4.970
600489.SH,600489,2021-03-01,"90,876,964",2.48,9.450
600490.SH,600490,2021-03-01,"2,324,317",0.12,4.330
600491.SH,600491,2021-03-01,"11,588,452",0.75,5.300
600495.SH,600495,2021-03-01,"632,830",0.05,3.990
600496.SH,600496,2021-03-01,"1,356,225",0.08,5.230
600497.SH,600497,2021-03-01,"3,526,986",0.06,5.500
600498.SH,600498,2021-03-01,"22,864,730",2.02,19.570
600499.SH,600499,2021-03-01,"1,090,583",0.06,8.570
600500.SH,600500,2021-03-01,"6,384,726",0.23,5.170
600501.SH,600501,2021-03-01,"674,361",0.16,9.100
600502.SH,600502,2021-03-01,"10,988,263",0.63,3.790
600503.SH,600503,2021-03-01,"1,424,449",0.08,3.710
600507.SH,600507,2021-03-01,"168,660,236",7.82,7.380
600508.SH,600508,2021-03-01,100,0.00,9.090
600509.SH,600509,2021-03-01,"8,525",0.00,4.590
600510.SH,600510,2021-03-01,"1,828,999",0.17,6.490
600511.SH,600511,2021-03-01,"12,636,566",2.28,38.240
600513.SH,600513,2021-03-01,"48,781",0.01,8.790
600516.SH,600516,2021-03-01,"95,986,988",2.52,8.280
600517.SH,600517,2021-03-01,"1,166,824",0.06,6.140
600518.SH,600518,2021-03-01,"1,360,139",0.03,2.130
600519.SH,600519,2021-03-01,"98,873,704",7.87,2158.000
600521.SH,600521,2021-03-01,"20,771,252",1.42,28.780
600522.SH,600522,2021-03-01,"99,750,438",3.25,10.950
600523.SH,600523,2021-03-01,"9,280",0.00,14.720
600525.SH,600525,2021-03-01,"1,955,154",0.14,5.620
