symbol,code,date,shareholding,shareholding_percent
600271.SH,600271,2021-02-04,"9,819,914",0.52
600273.SH,600273,2021-02-04,"28,243,449",1.97
600276.SH,600276,2021-02-04,"671,007,638",12.64
600277.SH,600277,2021-02-04,"8,171,491",0.29
600278.SH,600278,2021-02-04,"7,294",0.00
600280.SH,600280,2021-02-04,"117,981",0.01
600282.SH,600282,2021-02-04,"169,934,002",3.82
600284.SH,600284,2021-02-04,"6,126,797",0.63
600285.SH,600285,2021-02-04,"13,114,237",2.30
600289.SH,600289,2021-02-04,"69,611",0.01
600290.SH,600290,2021-02-04,200,0.00
600291.SH,600291,2021-02-04,"531,588",0.04
600292.SH,600292,2021-02-04,"829,738",0.10
600295.SH,600295,2021-02-04,"3,609,104",0.55
600297.SH,600297,2021-02-04,"38,513,310",0.47
600298.SH,600298,2021-02-04,"91,863,171",11.14
600299.SH,600299,2021-02-04,"11,564,590",0.43
600300.SH,600300,2021-02-04,"1,067,281",0.06
600305.SH,600305,2021-02-04,"53,347,443",5.31
600307.SH,600307,2021-02-04,"1,578,608",0.02
600309.SH,600309,2021-02-04,"150,636,482",10.58
600310.SH,600310,2021-02-04,"1,625,006",0.19
600312.SH,600312,2021-02-04,"11,047,642",0.81
600315.SH,600315,2021-02-04,"18,704,131",2.78
600316.SH,600316,2021-02-04,"260,546",0.03
600318.SH,600318,2021-02-04,"13,468",0.00
600321.SH,600321,2021-02-04,"134,400",0.00
600323.SH,600323,2021-02-04,"5,496,842",0.71
600325.SH,600325,2021-02-04,"33,917,405",1.60
600326.SH,600326,2021-02-04,"8,800,902",0.95
600327.SH,600327,2021-02-04,"319,061",0.03
600329.SH,600329,2021-02-04,"17,463,769",3.08
600332.SH,600332,2021-02-04,"18,719,545",1.33
600333.SH,600333,2021-02-04,"5,800",0.00
600335.SH,600335,2021-02-04,"2,227,803",0.21
600337.SH,600337,2021-02-04,"18,766,659",1.15
600338.SH,600338,2021-02-04,"7,380,635",0.80
600340.SH,600340,2021-02-04,"123,680,968",3.17
600343.SH,600343,2021-02-04,"535,571",0.08
600345.SH,600345,2021-02-04,"49,492",0.02
600346.SH,600346,2021-02-04,"144,168,803",3.11
600348.SH,600348,2021-02-04,"49,567,506",2.06
600350.SH,600350,2021-02-04,"22,070,001",0.45
600351.SH,600351,2021-02-04,"797,372",0.10
600352.SH,600352,2021-02-04,"84,568,544",2.59
600353.SH,600353,2021-02-04,"2,000",0.00
600362.SH,600362,2021-02-04,"43,448,143",2.09
600363.SH,600363,2021-02-04,"6,705,220",1.51
600366.SH,600366,2021-02-04,"11,634,188",1.17
600368.SH,600368,2021-02-04,"15,841,989",1.40
600369.SH,600369,2021-02-04,"67,593,658",1.19
600372.SH,600372,2021-02-04,"32,567,365",1.68
