,name,cname,symbol
10351,ASYMSHARES ASYMMETRIC 500 ETF,ASYMSHARES ASYMMETRIC 500 ETF,ASPY
10352,AmeriServ Financial Capital Trust I,AmeriServ Financial Capital Trust I,ASRVP
10353,"AST Spacemobile, Inc.","AST Spacemobile, Inc.",ASTSW
10354,Atlantic Acquisition Corp. (New York),Atlantic Acquisition Corp. (New York),ATACR
10355,Atlas Corp. (Marshall Islands),Atlas Corp. (Marshall Islands),ATCOL
10356,"Atlas Technical Consultants, Inc.","Atlas Technical Consultants, Inc.",ATCXW
10357,Tick Pilot Test Group 1,Tick Pilot Test Group 1,ATEST.A
10358,Tick pilot Test 2,Tick pilot Test 2,ATEST.B
10359,Tick Pilot Test 3,Tick Pilot Test 3,ATEST.C
10360,ATEST.G,ATEST.G,ATEST.G
10361,ATEST.H,ATEST.H,ATEST.H
10362,ATEST.L,ATEST.L,ATEST.L
10363,ATEST.Z,ATEST.Z,ATEST.Z
10364,Alger 35 ETF,Alger 35 ETF,ATFV
10365,180 LIFE SCIENCES CORP C/WTS 07,180 LIFE SCIENCES CORP C/WTS 07,ATNFW
10366,ARCHIMEDES TECH SPAC PARTNERS C,ARCHIMEDES TECH SPAC PARTNERS C,ATSPU
10367,Archimedes Tech SPAC Partners Co.,Archimedes Tech SPAC Partners Co.,ATSPW
10368,TRIBE CAPITAL GROWTH CORP I UNI,TRIBE CAPITAL GROWTH CORP I UNI,ATVCU
10369,Tribe Capital Growth Corp. I,Tribe Capital Growth Corp. I,ATVCW
10370,Atlantic Union Bankshares Corp.,Atlantic Union Bankshares Corp.,AUBAP
10371,TRUESHARES STRUCTURED OUTCOME A,TRUESHARES STRUCTURED OUTCOME A,AUGZ
10372,AR Capital Acquisition Corp. ,AR Capital Acquisition Corp. ,AUMA
10373,AR Capital Acquisition Corp. - Warrants,AR Capital Acquisition Corp. - Warrants,AUMAW
10374,Aurora Acquisition Corp.,Aurora Acquisition Corp.,AURCW
10375,AUDDIA INC,AUDDIA INC,AUUDW
10376,"American Virtual Cloud Technologies, Inc.","American Virtual Cloud Technologies, Inc.",AVCTW
10377,AVDR US LARGECAP ESG ETF,AVDR US LARGECAP ESG ETF,AVDG
10378,AVANTIS CORE FIXED INCOME ETF,AVANTIS CORE FIXED INCOME ETF,AVIG
10379,AVANTIS CORE MUNICIPAL FIXED IN,AVANTIS CORE MUNICIPAL FIXED IN,AVMU
10380,AVANTIS SHORT-TERM FIXED INCOME,AVANTIS SHORT-TERM FIXED INCOME,AVSF
10381,Axar Acquisition Corp. - Units,Axar Acquisition Corp. - Units,AXARU
10382,"Axos Financial, Inc.","Axos Financial, Inc.",AXO
10383,iPath Gems Asia 8 ETN,iPath Gems Asia 8 ETN,AYT
10384,AllianzIM U.S. Large Cap Buffer10 Apr ETF,AllianzIM U.S. Large Cap Buffer10 Apr ETF,AZAA
10385,ALLIANZIM U.S. LARGE CAP BUFFER,ALLIANZIM U.S. LARGE CAP BUFFER,AZAJ
10386,AllianzIM U.S. Large Cap Buffer10 Jul ETF,AllianzIM U.S. Large Cap Buffer10 Jul ETF,AZAL
10387,AllianzIM U.S. Large Cap Buffer10 Oct ETF,AllianzIM U.S. Large Cap Buffer10 Oct ETF,AZAO
10388,AllianzIM U.S. Large Cap Buffer20 Apr ETF,AllianzIM U.S. Large Cap Buffer20 Apr ETF,AZBA
