,name,cname,symbol
1209,PVH Corp.,PVH Corp.,PVH
1210,"Guidewire Software, Inc.","Guidewire Software, Inc.",GWRE
1211,"National Retail Properties, Inc.","National Retail Properties, Inc.",NNN
1212,"Jefferies Financial Group, Inc.",露卡迪亚国家集团,LUK
1213,Microsemi Corp.,美高森美集成电路,MSCC
1214,"NRG Energy, Inc.",NRG能源,NRG
1215,Banco Santander Mexico SA Institucion de Banca Multiple,桑坦德银行墨西,BSMX
1216,Schwab Fundamental U.S. Large Co. Index ETF,Schwab Fundamental U.S. Large Co. Index ETF,FNDX
1217,Polaris Inc.,北极星,PII
1218,iShares Core S&P U.S. Value ETF,iShares 核心美国价值 ETF,IUSV
1219,Schwab U.S. Large-Cap Value ETF,嘉信 美国大盘价值 ETF,SCHV
1220,"Acceleron Pharma, Inc.","Acceleron Pharma, Inc.",XLRN
1221,"Beyond Meat, Inc.",Beyond Meat,BYND
1222,Bumble Inc.,Bumble Inc.,BMBL
1223,Hyatt Hotels Corp.,凯悦酒店,H
1224,Old Republic International Corp.,Old Republic International Corp.,ORI
1225,"ITT, Inc.","ITT, Inc.",ITT
1226,"TuSimple Holdings, Inc.",图森未来,TSP
1227,"Pinnacle Foods, Inc.","Pinnacle Foods, Inc.",PF
1228,Vanguard Intermediate-Term Treasury Bond ETF,领航 中期国债 ETF,VGIT
1229,"Toll Brothers, Inc.",托尔兄弟,TOL
1230,"The Stars Group, Inc.","The Stars Group, Inc.",TSG
1231,"Knight-Swift Transportation Holdings, Inc.","Knight-Swift Transportation Holdings, Inc.",KNX
1232,Andeavor Logistics LP,Andeavor Logistics LP,ANDX
1233,"People's United Financial, Inc.",人民联合金融公司,PBCT
1234,Chemed Corp.,Chemed Corp.,CHE
1235,Freshpet Inc.,Freshpet Inc.,FRPT
1236,TELUS International (Cda) Inc.,TELUS International (Cda) Inc.,TIXT
1237,Brunswick Corp.,宾士域（Brunswick）集团,BC
1238,"Voya Financial, Inc.","Voya Financial, Inc.",VOYA
1239,ProShares S&P 500 Dividend Aristocrats ETF,ProShares 标普500派息 ETF,NOBL
1240,Schwab Emerging Markets Equity ETF,Schwab Emerging Markets Equity ETF,SCHE
1241,"Churchill Downs, Inc.","Churchill Downs, Inc.",CHDN
1242,"Jefferies Financial Group, Inc.",杰富瑞,JEF
1243,Mobile TeleSystems PJSC,移动电信,MBT
1244,Vistra Corp.,Vistra Corp.,VST
1245,Cameco Corp.,Cameco Corp.,CCJ
1246,iShares Core High Dividend ETF,iShares 核心高股息 ETF,HDV
1247,"Ubiquiti Networks, Inc.",厄比奎蒂网络公司,UBNT
1248,"Harman International Industries, Inc.",哈曼国际,HAR
1249,"Euronet Worldwide, Inc.",嘉银通,EEFT
1250,CNX COAL RESOURCES LP,CNX COAL RESOURCES LP,CNXC
1251,"Northrop Grumman Innovation Systems, Inc.","Northrop Grumman Innovation Systems, Inc.",OA
1252,"Mirati Therapeutics, Inc.","Mirati Therapeutics, Inc.",MRTX
1253,Cencosud SA,桑科萨,CNCO
1254,Sunoco Logistics Partners L.P.,Sunoco Logistics Partners L.P.,SXL
1255,APA Corp.,阿帕契公司,APA
1256,Braskem SA,Braskem SA,BAK
1257,"Woodward, Inc.","Woodward, Inc.",WWD
1258,ABCELLERA BIOLOGICS INC,ABCELLERA BIOLOGICS INC,ABCL
1259,iShares Russell Mid-Cap Growth ETF,罗素中型成长股指数ETF-iShares,IWP
1260,"IAA, Inc.","IAA, Inc.",IAA
1261,AerCap Holdings NV,AerCap Holdings NV,AER
1262,"Donaldson Co., Inc.",唐纳森,DCI
1263,"Westar Energy, Inc.","Westar Energy, Inc.",WR
1264,"Arrowhead Pharmaceuticals, Inc.","Arrowhead Pharmaceuticals, Inc.",ARWR
1265,"YETI Holdings, Inc.","YETI Holdings, Inc.",YETI
1266,"Lincoln Electric Holdings, Inc.",林肯电气控股,LECO
1267,"RSP Permian, Inc.","RSP Permian, Inc.",RSPP
1268,RenaissanceRe Holdings Ltd.,RenaissanceRe Holdings Ltd.,RNR
1269,Olin Corp.,欧林,OLN
1270,"Cullen/Frost Bankers, Inc.",库伦佛寺银行,CFR
1271,Schwab U.S. Aggregate Bond ETF,嘉信 美国投资级债券 ETF,SCHZ
1272,Plains All American Pipeline LP,Plains All American Pipeline LP,PAA
1273,"Shift4 Payments, Inc.","Shift4 Payments, Inc.",FOUR
1274,"Life Storage, Inc.",巨积公司,LSI
1275,"FLIR Systems, Inc.",菲利尔系统,FLIR
1276,"SiteOne Landscape Supply, Inc.","SiteOne Landscape Supply, Inc.",SITE
1277,China Eastern Airlines Corp. Ltd.,中国东方航空集团公司,CEA
1278,"OneMain Holdings, Inc.","OneMain Holdings, Inc.",OMF
1279,"Squarespace, Inc.","Squarespace, Inc.",SQSP
1280,"Tilray, Inc.","Tilray, Inc.",TLRY
1281,LATAM Airlines Group S.A. ADS,LATAM Airlines Group S.A. ADS,LFL
1282,Vanguard Mega Cap Growth ETF,领航 超大盘股票成长型 ETF,MGK
1283,"Rexford Industrial Realty, Inc.","Rexford Industrial Realty, Inc.",REXR
1284,"VCA, Inc.","VCA, Inc.",WOOF
1285,Marriott Vacations Worldwide Corp.,Marriott Vacations Worldwide Corp.,VAC
1286,CHARGEPOINT HOLDINGS INC,CHARGEPOINT HOLDINGS INC,CHPT
1287,"Hill-Rom Holdings, Inc.",希尔罗控股,HRC
1288,"Smartsheet, Inc.","Smartsheet, Inc.",SMAR
1289,Credit Acceptance Corp.,Credit Acceptance Corp.,CACC
1290,APARTMENT INCOME REIT CORP,APARTMENT INCOME REIT CORP,AIRC
1291,"Harley-Davidson, Inc.",哈雷戴维森公司,HOG
1292,"Skechers U.S.A., Inc.",斯凯奇,SKX
1293,"Post Holdings, Inc.","Post Holdings, Inc.",POST
1294,Axalta Coating Systems Ltd.,Axalta Coating Systems Ltd.,AXTA
1295,MARINE HARVEST ASA,MARINE HARVEST ASA,MHG
1296,OneConnect Financial Technology Co. Ltd.,深圳壹账通智能科技有限公司,OCFT
1297,Vanguard Tax-Exempt Bond ETF,领航 免税债券 ETF,VTEB
1298,"Brooks Automation, Inc.",布鲁克自动化,BRKS
1299,"LG Display Co., Ltd.","LG Display Co., Ltd.",LPL
1300,"Leggett & Platt, Inc.",礼恩派集团,LEG
1301,"Tempur Sealy International, Inc.",泰浦陛迪国际公司,TPX
1302,"Angi, Inc.",安吉斯里斯特公司,ANGI
1303,iShares MSCI Eurozone ETF,欧盟国家ETF-iShares MSCI,EZU
1304,Hess Midstream LP,Hess Midstream LP,HESM
1305,"Stericycle, Inc.",消毒循环公司,SRCL
1306,Ternium SA,特尔尼翁钢铁,TX
1307,Ascendis Pharma A/S,Ascendis Pharma A/S,ASND
1308,"Starwood Property Trust, Inc.","Starwood Property Trust, Inc.",STWD
1309,Lattice Semiconductor Corp.,莱迪思半导体,LSCC
1310,"Fate Therapeutics, Inc.","Fate Therapeutics, Inc.",FATE
1311,Stifel Financial Corp.,Stifel Financial Corp.,SF
1312,Cricut  Inc.,Cricut  Inc.,CRCT
1313,iShares S&P 100 ETF,标普100指数ETF-iShares,OEF
1314,"Mattel, Inc.",美国美泰公司,MAT
1315,Western Gas Equity Partners LP,Western Gas Equity Partners LP,WGP
1316,Panera Bread Co.,Panera Bread Co.,PNRA
1317,LUMINAR TECHNOLOGIES INC,LUMINAR TECHNOLOGIES INC,LAZR
1318,Grupo Televisa SAB,墨西哥电视,TV
1319,The New York Times Co.,纽约时报,NYT
1320,MINISO Group Holding Limited,名创优品,MNSO
1321,"II-VI, Inc.",II￢I Incorporated,IIVI
1322,Boyd Gaming Corp.,博伊德赌场,BYD
1323,KT Corp.,韩国电信,KT
1324,"Globus Medical, Inc.","Globus Medical, Inc.",GMED
1325,"GCI Liberty, Inc.","GCI Liberty, Inc.",GLIBP
1326,Vanguard Short-Term Inflation-Protected Securities ETF,Vanguard Short-Term Inflation-Protected Securities ETF,VTIP
1327,Synovus Financial Corp.,西诺乌斯金融,SNV
1328,"Woori Financial Group, Inc.",韩国友利金融,WF
1329,VimpelCom Ltd ADS,VimpelCom Ltd ADS,VIP
1330,TCF Financial Corp.,TCF Financial Corp.,TCF
1331,FirstService Corp.,FirstService Corp.,FSV
1332,"CBRE Group, Inc.",世邦魏理仕,CBG
1333,Bancolombia SA,哥伦比亚银行,CIB
1334,Energen Corp.,爱内珍,EGN
1335,Pan American Silver Corp.,泛美白银,PAAS
1336,First American Financial Corp.,第一美国,FAF
1337,Mellanox Technologies Ltd.,迈勒罗斯科技,MLNX
1338,"Exelixis, Inc.",伊克力西斯,EXEL
1339,Envista Holdings Corp.,Envista Holdings Corp.,NVST
1340,"Gildan Activewear, Inc.",吉登运动服,GIL
1341,Invesco FTSE RAFI US 1000 ETF,景顺 富时RAFI美国1000 ETF,PRF
1342,"Change Healthcare, Inc.",改变医疗保健公司,CHNG
1343,"WABCO Holdings, Inc.",威伯科控股公司,WBC
1344,"Crocs, Inc.",卡骆驰,CROX
1345,"Wyndham Hotels & Resorts, Inc.",WSP控股有限公司,WH
1346,"First Financial Bankshares, Inc.",第一金融银行股份,FFIN
1347,"Parsley Energy, Inc.","Parsley Energy, Inc.",PE
1348,IQ Ultra Short Duration ETF,巴哈马超级石油海运,ULTR
1349,"Texas Roadhouse, Inc.",德州公路酒吧,TXRH
1350,"Planet Fitness, Inc.","Planet Fitness, Inc.",PLNT
1351,"Ultragenyx Pharmaceutical, Inc.","Ultragenyx Pharmaceutical, Inc.",RARE
1352,"Ovintiv, Inc.","Ovintiv, Inc.",OVV
1353,Cimarex Energy Co.,Cimarex Energy Co.,XEC
1354,Tenet Healthcare Corp.,泰尼特健保,THC
1355,GW Pharmaceuticals Plc,GW Pharmaceuticals Plc,GWPH
1356,Fiverr International Ltd.,Fiverr,FVRR
1357,"Great Plains Energy, Inc.",大平原能源,GXP
1358,Columbia Sportswear Co.,哥伦比亚户外,COLM
1359,"Penske Automotive Group, Inc.",潘世奇汽车,PAG
1360,OGE Energy Corp.,OGE Energy Corp.,OGE
1361,"Forest City Realty Trust, Inc.","Forest City Realty Trust, Inc.",FCE.A
1362,"The AZEK Co., Inc.","The AZEK Co., Inc.",AZEK
1363,Callaway Golf Co.,卡罗韦高尔夫,ELY
1364,VanEck Vectors Junior Gold Miners ETF,金矿指数ETF-Market Vectors,GDXJ
1365,"People's United Financial, Inc.","People's United Financial, Inc.",PBCTP
1366,Navient Corp.,Navient Corp.,JSM
1367,"BRP, Inc.","BRP, Inc.",DOOO
1368,Sotera Health Co,Sotera Health Co,SHC
1369,"Pinnacle Financial Partners, Inc.","Pinnacle Financial Partners, Inc.",PNFP
1370,Louisiana-Pacific Corp.,路易斯安那太平洋,LPX
1371,"Prosperity Bancshares, Inc.","Prosperity Bancshares, Inc.",PB
1372,Alcoa Corp.,美国铝业公司,AA
1373,SCANA Corp.,斯卡纳公司,SCG
1374,Baker Hughes Incorporated,贝克休斯公司,BHI
1375,"Hanesbrands, Inc.",哈尼斯品牌服装,HBI
1376,"MDU Resources Group, Inc.","MDU Resources Group, Inc.",MDU
1377,The Medicines Co.,麦迪逊医药,MDCO
1378,Sonoco Products Co.,Sonoco Products Co.,SON
1379,"Coty, Inc.",科蒂,COTY
1380,"CSRA, Inc.","CSRA, Inc.",CSRA
1381,"EMCOR Group, Inc.",埃姆科,EME
1382,"Gardner Denver Holdings, Inc.",加德纳丹佛,GDI
1383,"Thor Industries, Inc.",托尔工业集团,THO
1384,"Staples, Inc.",史泰博,SPLS
1385,iShares MSCI South Korea ETF,韩国ETF-iShares MSCI,EWY
1386,"Ritchie Bros. Auctioneers, Inc.",里奇兄弟拍卖,RBA
1387,SKILLZ INC,SKILLZ INC,SKLZ
1388,Vanguard Global ex-US Real Estate Index Fund,Vanguard全球除美国房地产股指数ETF,VNQI
1389,Performance Food Group Co.,Performance Food Group Co.,PFGC
1390,"ManpowerGroup, Inc.",万宝盛华人力资源,MAN
1391,"Affiliated Managers Group, Inc.",附属管理公司,AMG
1392,Cabot Oil & Gas Corp.,卡伯特油气公司,COG
1393,SPDR Portfolio Developed World ex-US ETF,SPDR Portfolio Developed World ex-US ETF,SPDW
1394,TopBuild Corp.,TopBuild Corp.,BLD
1395,Scientific Games Corp.,美彩科技,SGMS
1396,United States Steel Corp.,合众钢铁,X
1397,"JOYY, Inc.",欢聚集团,YY
1398,SPDR Portfolio Short Term Corporate Bond ETF,SPDR Portfolio Short Term Corporate Bond ETF,SPSB
1399,"Brixmor Property Group, Inc.","Brixmor Property Group, Inc.",BRX
1400,WillScot Mobile Mini Holdings Corp.,WillScot Mobile Mini Holdings Corp.,WSC
1401,"Choice Hotels International, Inc.",精选国际酒店,CHH
1402,"Foot Locker, Inc.",富乐客,FL
1403,SYNNEX Corp.,新聚思,SNX
1404,"First Industrial Realty Trust, Inc.",第一工业地产,FR
1405,"MSA Safety, Inc.","MSA Safety, Inc.",MSA
1406,"B/E Aerospace, Inc.",BE航天航空公司,BEAV
1407,The Timken Co.,铁姆肯,TKR
1408,"Popular, Inc.",大众银行,BPOP
1409,Fox Factory Holding Corp.,Fox Factory Holding Corp.,FOXF
1410,Janus Henderson Group Plc,Janus Henderson Group Plc,JHG
1411,"American Campus Communities, Inc.",美国校园社区公司,ACC
1412,"Nexstar Media Group, Inc.","Nexstar Media Group, Inc.",NXST
1413,iShares Short Maturity Bond ETF,iShares 短期限债券 ETF,NEAR
1414,"Landstar System, Inc.",莱帝运输,LSTR
1415,JetBlue Airways Corp.,捷蓝航空,JBLU
1416,SLM Corp.,学贷美,SLM
1417,Yatsen Holding Ltd,广州逸仙电子商务有限公司,YSG
1418,"Coherent, Inc.","Coherent, Inc.",COHR
1419,"Acuity Brands, Inc.","Acuity Brands, Inc.",AYI
1420,"Tetra Tech, Inc.","Tetra Tech, Inc.",TTEK
1421,"Ingredion, Inc.","Ingredion, Inc.",INGR
1422,"Frontier Communications Parent, Inc.","Frontier Communications Parent, Inc.",FYBR
1423,"Genesee & Wyoming, Inc.",杰纳西及怀俄明,GWR
1424,Buckeye Partners LP,巴克艾,BPL
1425,"Reynolds Consumer Products, Inc.","Reynolds Consumer Products, Inc.",REYN
1426,STAAR Surgical Co.,STAAR Surgical Co.,STAA
1427,"LHC Group, Inc.","LHC Group, Inc.",LHCG
1428,"EastGroup Properties, Inc.","EastGroup Properties, Inc.",EGP
1429,NCR Corp.,NCR Corp.,NCR
1430,"Littelfuse, Inc.",美国力特保险丝,LFUS
1431,Grupo Aval Acciones y Valores SA,Grupo Aval Acciones y Valores SA,AVAL
1432,"Integrated Device Technology, Inc.",集成设备技术,IDTI
1433,IMMUNITYBIO INC,IMMUNITYBIO INC,IBRX
1434,Tallgrass Energy LP,Tallgrass Energy LP,TGE
1435,Endurance Specialty Holdings Ltd.,耐力特,ENH
1436,"NOV, Inc.",美国国民油井华高公司,NOV
1437,"Terminix Global Holdings, Inc.","Terminix Global Holdings, Inc.",TMX
1438,Huntsman Corp.,亨斯曼材料,HUN
1439,"Momenta Pharmaceuticals, Inc.","Momenta Pharmaceuticals, Inc.",MNTA
1440,"Primerica, Inc.","Primerica, Inc.",PRI
1441,Perrigo Co. Plc,百利高,PRGO
1442,BOK Financial Corp.,BOK银行,BOKF
1443,Herbalife Nutrition Ltd.,康宝莱国际公司,HLF
1444,Arlington Asset Investment Corp.,C3.ai,AI
1445,South State Corp.,South State Corp.,SSB
1446,"Eagle Materials, Inc.","Eagle Materials, Inc.",EXP
1447,"BJ's Wholesale Club Holdings, Inc.","BJ's Wholesale Club Holdings, Inc.",BJ
1448,"Healthcare Trust of America, Inc.","Healthcare Trust of America, Inc.",HTA
1449,"Lumentum Holdings, Inc.","Lumentum Holdings, Inc.",LITE
1450,Unum Group,尤纳姆集团,UNM
1451,"Commerce Bancshares, Inc. (Missouri)","Commerce Bancshares, Inc. (Missouri)",CBSHP
1452,"Douglas Emmett, Inc.",道格拉斯艾美特,DEI
1453,USG Corp.,美国石绵,USG
1454,"CalAtlantic Group, Inc.","CalAtlantic Group, Inc.",CAA
1455,TFS Financial Corp.,TFS Financial Corp.,TFSL
1456,"R1 RCM, Inc.","R1 RCM, Inc.",RCM
1457,iShares U.S. Medical Devices ETF,iShares 美国医药设备 ETF,IHI
1458,EQGP Holdings LP,EQGP Holdings LP,EQGP
1459,"Cavium, Inc.",卡姆网络,CAVM
1460,"Evercore, Inc.",永核伙伴,EVR
1461,Vectren Corp.,埃文斯威市电力,VVC
1462,"Shockwave Medical, Inc.","Shockwave Medical, Inc.",SWAV
1463,"Silicon Laboratories, Inc.",芯科实验室,SLAB
1464,Colfax Corp.,科尔法克斯,CFX
1465,Rexnord Corp.,Rexnord Corp.,RXN
1466,"CACI International, Inc.",CACI国际,CACI
1467,"Omnicell, Inc.","Omnicell, Inc.",OMCL
1468,"Halozyme Therapeutics, Inc.",奥洛兹美医疗,HALO
1469,"Sarepta Therapeutics, Inc.","Sarepta Therapeutics, Inc.",SRPT
1470,Shell Midstream Partners LP,Shell Midstream Partners LP,SHLX
1471,"Medpace Holdings, Inc.","Medpace Holdings, Inc.",MEDP
1472,"Vroom, Inc.","Vroom, Inc.",VRM
1473,"Saia, Inc.","Saia, Inc.",SAIA
1474,Mulesoft LLC,Mulesoft LLC,MULE
1475,Dada Nexus Ltd.,达达集团,DADA
1476,TIM SA (Brazil),堤姆通信服务,TSU
1477,Chindata Group Holdings Ltd.,秦淮数据,CD
1478,VONTIER CORP,VONTIER CORP,VNT
1479,"BWX Technologies, Inc.","BWX Technologies, Inc.",BWXT
1480,InterXion Holding NV,InterXion Holding NV,INXN
1481,iShares Edge MSCI Min Vol Global ETF,iShares Edge MSCI Min Vol Global ETF,ACWV
1482,EQT Corp.,EQT能源 公平能源,EQT
1483,"Valvoline, Inc.","Valvoline, Inc.",VVV
1484,"Asana, Inc.","Asana, Inc.",ASAN
1485,"American Eagle Outfitters, Inc.",美国鹰君服饰公司,AEO
1486,Senior Housing Properties Trust,Senior Housing Properties Trust,SNHNI
1487,Pilgrim's Pride Corp.,Pilgrim's Pride Corp.,PPC
1488,"Avis Budget Group, Inc.",安飞士,CAR
1489,"Digital Turbine, Inc.","Digital Turbine, Inc.",APPS
1490,"CoreLogic, Inc.","CoreLogic, Inc.",CLGX
1491,Integra LifeSciences Holdings Corp.,英特格拉生命科学,IART
1492,The Chemours Co.,The Chemours Co.,CC
1493,Ardagh Group SA,Ardagh Group SA,ARD
1494,Alliance Data Systems Corp.,联合数据系统公司,ADS
1495,"Ingram Micro, Inc.",英格麦克,IM
1496,Schwab U.S. REIT ETF,嘉信 美国房地产投资信托 ETF,SCHH
1497,Hayward Holdings  Inc.,Hayward Holdings  Inc.,HAYW
1498,Elbit Systems Ltd.,Elbit Systems Ltd.,ESLT
1499,"Versum Materials, Inc.","Versum Materials, Inc.",VSM
1500,Invitae Corp.,Invitae Corp.,NVTA
1501,Daqo New Energy Corp.,大全新能源,DQ
1502,"PLDT, Inc.",菲律宾长途电话,PHI
1503,"STAG Industrial, Inc.","STAG Industrial, Inc.",STAG
1504,"Medidata Solutions, Inc.",Medidata解决方案公司,MDSO
1505,Endava Plc,Endava Plc,DAVA
1506,"Macy's, Inc.",梅西百货,M
1507,Invesco Preferred ETF,优先股指数ETF-PowerShares,PGX
1508,"KBR, Inc.",KBR科技,KBR
1509,Valley National Bancorp,硅谷国家银行,VLY
1510,The Howard Hughes Corp.,The Howard Hughes Corp.,HHC
1511,"Acadia Healthcare Co., Inc.",阿卡迪亚医疗保健公司,ACHC
1512,Michael Kors Holdings Ltd.,迈克高仕,KORS
1513,"J2 Global, Inc.",J2全球通信,JCOM
1514,Schwab Fundamental International Large Co. Index ETF,Schwab Fundamental International Large Co. Index ETF,FNDF
1515,"Element Solutions, Inc.",ITT教育服务,ESI
1516,Madison Square Garden Sports Corp.,麦迪逊花园,MSG
1517,"TripAdvisor, Inc.",猫途鹰,TRIP
1518,Signify Health  Inc.,Signify Health  Inc.,SGFY
1519,Regal Beloit Corp.,雷勃电气,RBC
1520,"nCino, Inc.","nCino, Inc.",NCNO
1521,"Grubhub, Inc.","Grubhub, Inc.",GRUB
1522,SPDR Portfolio S&P 500 Value ETF,SPDR Portfolio S&P 500 Value ETF,SPYV
1523,"Ashland Global Holdings, Inc.",亚什兰公司,ASH
1524,"Huaneng Power International, Inc.",华能国际电力股份有限公司,HNP
1525,"Qurate Retail, Inc.","Qurate Retail, Inc.",QRTEB
1526,Tesoro Logistics LP,Tesoro Logistics LP,TLLP
1527,Owl Rock Capital Corp.,Owl Rock Capital Corp.,ORCC
1528,"MAXIMUS, Inc.",马克西姆斯服务,MMS
1529,Grupo Aeroportuario del Pac铆fico SAB de CV,太平洋航空,PAC
1530,Crane Co.,Crane Co.,CR
1531,TRAVEL PLUS LEISURE CO,TRAVEL PLUS LEISURE CO,TNL
1532,Envision Healthcare Corp.,Envision Healthcare Corp.,EVHC
1533,ARRIS International Ltd.,艾利斯集团,ARRS
1534,Leslie's  Inc.,Leslie's  Inc.,LESL
1535,"Glacier Bancorp, Inc.",冰川万通金控,GBCI
1536,iShares Edge MSCI USA Value Factor ETF,iShares Edge MSCI USA Value Factor ETF,VLUE
1537,"New York Community Bancorp, Inc.",纽约社区银行集团,NYCB
1538,"Under Armour, Inc.","Under Armour, Inc.",UA.C
1539,"Qurate Retail, Inc.","Qurate Retail, Inc.",QRTEA
1540,"Cousins Properties, Inc.",卡津斯不动产信托基金,CUZ
1541,Calpine Corp.,卡尔派电业,CPN
1542,MULTIPLAN CORPORATION,MULTIPLAN CORPORATION,MPLN
1543,"DoubleVerify Holdings, Inc.","DoubleVerify Holdings, Inc.",DV
1544,Flowserve Corp.,福斯公司,FLS
1545,Enstar Group Ltd.,恩斯塔,ESGR
1546,SL Green Realty Corp.,SL Green Realty Corp.,SLG
1547,Schwab Short-Term U.S. Treasury ETF,嘉信 美国短期国债 ETF,SCHO
1548,"Spirit Realty Capital, Inc.","Spirit Realty Capital, Inc.",SRC
1549,"Fastly, Inc.","Fastly, Inc.",FSLY
1550,"Q2 Holdings, Inc.","Q2 Holdings, Inc.",QTWO
1551,"Clearway Energy, Inc.","Clearway Energy, Inc.",CWEN
1552,"Pure Storage, Inc.","Pure Storage, Inc.",PSTG
1553,"ASGN, Inc.",盎塞,ASGN
1554,Bank OZK,Bank OZK,OZK
1555,Essent Group Ltd.,Essent Group Ltd.,ESNT
1556,"Nordstrom, Inc.",诺斯庄百货,JWN
1557,"Vivint Solar, Inc.","Vivint Solar, Inc.",VSLR
1558,Grupo Aeroportuario del Sureste SA de CV,Grupo Aeroportuario del Sureste SA de CV,ASR
1559,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS
1560,"Allakos, Inc.","Allakos, Inc.",ALLK
1561,Select Medical Holdings Corp.,Select Medical Holdings Corp.,SEM
1562,"ServiceMaster Global Holdings, Inc.","ServiceMaster Global Holdings, Inc.",SERV
1563,Validus Holdings Ltd.,Validus Holdings Ltd.,VR
1564,Air Lease Corp.,航空租赁公司,AL
1565,B2Gold Corp.,B2Gold Corp.,BTG
1566,HollyFrontier Corp.,HollyFrontier Corp.,HFC
1567,"Siliconware Precision Industries Co., Ltd.",矽品精密工业股份有限公司,SPIL
1568,"WESCO International, Inc.",西科国际有限公司,WCC
1569,BlackBerry Ltd.,黑莓公司,BB
1570,DCP Midstream LP,DCP Midstream LP,DCP
1571,Nomad Foods Ltd.,Nomad Foods Ltd.,NOMD
1572,"Duck Creek Technologies, Inc.",DCT工业信托,DCT
1573,nVent Electric Plc,nVent Electric Plc,NVT
1574,National Instruments Corp.,美国国家仪器,NATI
1575,Companhia Energ茅tica de Minas Gerais SA,Companhia Energ茅tica de Minas Gerais SA,CIG.C
1576,Helen of Troy Ltd.,海伦特洛伊家电,HELE
1577,Bank of The Ozarks,Bank of The Ozarks,OZRK
1578,PacWest Bancorp,PacWest Bancorp,PACW
1579,SPDR Portfolio Total Stock Market ETF,SPDR Portfolio Total Stock Market ETF,SPTM
1580,"Alteryx, Inc.","Alteryx, Inc.",AYX
1581,"Rayonier, Inc.",雷欧尼尔,RYN
1582,"WPX Energy, Inc.",WPX能源公司,WPX
1583,"MSC Industrial Direct Co., Inc.","MSC Industrial Direct Co., Inc.",MSM
1584,"FireEye, Inc.","FireEye, Inc.",FEYE
1585,"Valmont Industries, Inc.",维蒙特工业,VMI
1586,Diversey Holdings  Ltd.,Diversey Holdings  Ltd.,DSEY
1587,BOK Financial Corp.,BOK Financial Corp.,BOKFL
1588,Brocade Communications Systems LLC,博科通信,BRCD
1589,Biohaven Pharmaceutical Holding Co. Ltd.,Biohaven Pharmaceutical Holding Co. Ltd.,BHVN
1590,ChampionX Corp.,ChampionX Corp.,CHX
1591,Compass  Inc.,Compass  Inc.,COMP
1592,"CIT Group, Inc.","CIT Group, Inc.",CIT
1593,"Tandem Diabetes Care, Inc.","Tandem Diabetes Care, Inc.",TNDM
1594,"Bemis Co., Inc.",碧美斯公司,BMS
1595,"United Bankshares, Inc. (West Virginia)",联合银行,UBSI
1596,The Wendy's Co.,温迪,WEN
1597,"Chart Industries, Inc.",查特工业,GTLS
1598,Nevro Corp.,Nevro Corp.,NVRO
1599,Adaptive Biotechnologies Corp.,Adaptive Biotechnologies,ADPT
1600,"Varonis Systems, Inc.","Varonis Systems, Inc.",VRNS
1601,SolarWinds Corp.,SolarWinds Corp.,SWI
1602,Lazard Ltd.,Lazard Ltd.,LAZ
1603,"Pacific Biosciences of California, Inc.","Pacific Biosciences of California, Inc.",PACB
1604,Churchill Capital Corp. IV,Churchill Capital Corp. IV,CCIV
1605,"Lemonade, Inc.","Lemonade, Inc.",LMND
1606,Chesapeake Energy Corp.,切萨皮克能源,CHK
1607,CoreSite Realty Corp.,CoreSite房产,COR
1608,Science Applications International Corp.,Science Applications International Corp.,SAIC
1609,Lancaster Colony Corp.,兰卡斯特食品,LANC
1610,Tech Data Corp.,美国技术数据公司,TECD
1611,"Inspire Medical Systems, Inc.","Inspire Medical Systems, Inc.",INSP
1612,Coursera  Inc.,Coursera  Inc.,COUR
1613,"Amkor Technology, Inc.",艾马克技术公司,AMKR
1614,SPDR Portfolio Intermediate Term Corporate Bond ETF,SPDR Portfolio Intermediate Term Corporate Bond ETF,SPIB
1615,NextEra Energy Partners LP,NextEra Energy Partners LP,NEP
1616,Schwab Fundamental U.S. Small Co. Index ETF,Schwab Fundamental U.S. Small Co. Index ETF,FNDA
1617,Nikola Corp.,Nikola Corp.,NKLA
1618,Curtiss-Wright Corp.,寇蒂斯莱特,CW
1619,"Flowers Foods, Inc.",花苑食品,FLO
1620,Quidel Corp.,Quidel Corp.,QDEL
1621,"TriNet Group, Inc.","TriNet Group, Inc.",TNET
1622,"Red Rock Resorts, Inc.","Red Rock Resorts, Inc.",RRR
1623,Gates Industrial Corp. Plc,Gates Industrial Corp. Plc,GTES
1624,Teradata Corp.,天睿公司,TDC
1625,"Foundation Medicine, Inc.","Foundation Medicine, Inc.",FMI
1626,Vanguard Russell 1000 ETF,Vanguard Russell 1000 ETF,VONE
1627,"Clean Harbors, Inc.","Clean Harbors, Inc.",CLH
1628,Legend Biotech Corp.,南京传奇生物科技股份有限公司,LEGN
1629,Patheon NV,Patheon NV,PTHN
1630,iShares MSCI All Country Asia ex Japan ETF,亚洲ETF-iShares MSCI,AAXJ
1631,"Iridium Communications, Inc.",铱星通讯,IRDM
1632,First Trust Preferred Securities & Income ETF,First Trust Preferred Securities & Income ETF,FPE
1633,"Clearway Energy, Inc.","Clearway Energy, Inc.",CWEN.A
1634,"TTEC Holdings, Inc.","TTEC Holdings, Inc.",TTEC
1635,Webster Financial Corp.,Webster Financial Corp.,WBS
